policy_id,client_id,policy_name,policy_type,benefit_type,sum_assured,premium_amount,payment_frequency,payment_term,life_assured,start_date,expiry_date,status
b8cee6b8-5841-4810-9936-44b9840e37f0,dce2b16e-b396-4fcd-9327-acc092ec1c89,"Harrington, Hall and Gardner Secure Plan",Life Insurance,Death,40929.51,10.56,Annual,20,Child,2017-03-14,2020-09-04,Matured
d22d15f8-bb72-4d3b-88c9-2a81c408f403,dce2b16e-b396-4fcd-9327-acc092ec1c89,Davis-Murray Life Plan,Health Insurance,Accidental,35679.3,11.19,Semi-Annual,8,Spouse,2017-09-17,2023-05-06,Matured
f1cd82ec-fe61-4bef-a995-59cbc28fee20,3232eecd-2662-4276-a9ee-5ec5ee126212,Thomas PLC Total Care Plan,Health Insurance,Hospitalization,1135031.12,469.82,Monthly,13,Parent,2020-11-17,2025-04-19,Matured
e9ca0b12-dc4e-4622-b594-3161536b5dea,3232eecd-2662-4276-a9ee-5ec5ee126212,Gaines-Conley Supreme Plan,Life Insurance,Hospitalization,1370660.01,142.91,Monthly,24,Spouse,2016-09-28,2025-12-15,Matured
311a7756-e79d-4a75-819f-c9a62c9d21a2,3232eecd-2662-4276-a9ee-5ec5ee126212,"Green, Robinson and Briggs Secure Plan",General Insurance,Death,1220974.57,306.36,Monthly,25,Parent,2018-05-09,2019-04-28,Lapsed
e9846183-70c2-4b86-be9d-e91c22f2dd4b,3232eecd-2662-4276-a9ee-5ec5ee126212,Hall PLC Shield Plan,General Insurance,Total Permanent Disability,1384900.55,459.49,Semi-Annual,12,Self,2018-06-02,2019-10-04,Void
e6daa6e4-98c0-4c83-b735-822c3324c929,3232eecd-2662-4276-a9ee-5ec5ee126212,"Williams, Holt and Mckinney Total Care Plan",Life Insurance,Hospitalization,1137613.0,346.29,Monthly,18,Parent,2022-02-16,2023-12-28,Matured
0e060925-52b1-4c51-a9ca-212d91a2b9b3,0c43686e-5520-43d2-9b04-60a351f7fa80,Mitchell LLC Legacy Plan,Life Insurance,Accidental,997486.17,281.94,Monthly,18,Self,2018-07-23,2026-02-18,Matured
dcf40549-bc59-4b8e-9aa3-d15621ad1598,0c43686e-5520-43d2-9b04-60a351f7fa80,"Townsend, Crawford and Moore Term Plan",General Insurance,Total Permanent Disability,996357.23,182.62,Semi-Annual,23,Child,2020-10-29,2028-06-05,Active
16173bae-9842-4a25-a205-a885e792c6e2,0c43686e-5520-43d2-9b04-60a351f7fa80,Solis LLC Wellness Plan,General Insurance,Death,1161056.7,366.95,Semi-Annual,25,Self,2020-10-25,2023-11-14,Matured
09baaa02-cf12-4272-a234-e642ff2ded1c,0c43686e-5520-43d2-9b04-60a351f7fa80,"Tran, Livingston and Scott Shield Plan",General Insurance,Critical Illness,812393.21,164.45,Quarterly,12,Child,2024-01-12,2025-04-09,Void
4ce47903-7018-43ef-9012-096f59a57c64,0c43686e-5520-43d2-9b04-60a351f7fa80,"Green, Barber and Wilkinson Health Plan",Life Insurance,Accidental,837862.61,310.33,Semi-Annual,10,Parent,2018-08-16,2026-10-27,Active
d1d1791d-296d-4abc-814f-db919dea7694,b311347c-139b-41e6-a994-0350b2f2de3c,Martinez Ltd Life Plan,General Insurance,Total Permanent Disability,470255.06,192.08,Semi-Annual,20,Child,2019-10-02,2029-03-09,Active
