policy_id,client_id,policy_name,policy_type,start_date,expiry_date,status
25349103-c561-45c2-b313-13ce410f5b4b,dce2b16e-b396-4fcd-9327-acc092ec1c89,Walsh-Hicks ESG Fund,Fixed Income,2024-03-14,2029-06-05,Settled
225c1ba0-e2a5-40da-8d32-63e835b0d1ce,dce2b16e-b396-4fcd-9327-acc092ec1c89,Vega-Nguyen Pioneer Fund,Cash,2022-11-23,2024-02-17,Matured
5f24229d-e3f1-4b66-bd06-1e0107852142,dce2b16e-b396-4fcd-9327-acc092ec1c89,"Cannon, Duncan and Benitez Horizon Fund",Fixed Income,2019-10-06,2027-08-01,Active
b9038adc-8444-409d-8658-6115a85577db,dce2b16e-b396-4fcd-9327-acc092ec1c89,Finley-Coleman Horizon Fund,Cash,2020-06-14,2021-06-10,Void
20c6187d-1470-43f4-98a8-350c47215e55,dce2b16e-b396-4fcd-9327-acc092ec1c89,Marks-Porter Strategic Fund,Fixed Income,2016-06-05,2022-12-05,Matured
b7e5bfec-9907-4c12-94b6-aae3d0b36a92,3232eecd-2662-4276-a9ee-5ec5ee126212,Larsen-Smith Strategic Fund,Cash,2023-05-21,2027-04-26,Active
7dc30ba9-37e0-45bf-92f0-de7260f41ac3,0c43686e-5520-43d2-9b04-60a351f7fa80,Calderon and Sons Global Fund,Fixed Income,2020-02-16,2028-07-05,Active
ac1ae3a2-03ef-49bd-a365-c263d88a2074,0c43686e-5520-43d2-9b04-60a351f7fa80,Golden-White Dividend Fund,Equity,2025-04-27,2030-09-11,Active
7142c22d-5942-4223-91af-470d3ec6ed2f,0c43686e-5520-43d2-9b04-60a351f7fa80,Martin PLC Horizon Fund,Equity,2022-10-24,2025-10-13,Matured
24fb9629-a737-440b-86c6-5aad30c1bd17,0c43686e-5520-43d2-9b04-60a351f7fa80,Brown Inc Growth Fund,Equity,2023-11-05,2028-03-15,Active
5e0f01ef-0e7c-48b3-abe7-bb268b67b1a2,0c43686e-5520-43d2-9b04-60a351f7fa80,"Tate, Gomez and Robbins Alpha Fund",Equity,2024-02-12,2030-01-22,Active
dbfa96c6-9bef-4553-ba85-a01056e63cb1,b311347c-139b-41e6-a994-0350b2f2de3c,Bradford-Wilson Growth Fund,Cash,2019-09-30,2027-08-28,Active
0f48d51a-a621-4006-83c4-75e8baa6228a,b311347c-139b-41e6-a994-0350b2f2de3c,Cook and Sons Strategic Fund,Equity,2025-09-03,2034-11-23,Active
7f5d11ef-21b4-4cb4-8cf7-fd6e218b203b,b311347c-139b-41e6-a994-0350b2f2de3c,Cox Inc ESG Fund,Fixed Income,2026-01-17,2029-10-12,Active
8b84981f-f8ad-4d14-a1f8-8c171f37f2ae,b311347c-139b-41e6-a994-0350b2f2de3c,"Raymond, Rivera and Malone Dividend Fund",Equity,2024-04-26,2033-11-30,Active
fd018909-1281-4491-a07c-0caa49869c87,25f37d3a-8d37-4f30-b47f-ccb7a9dbac71,King-Fisher Growth Fund,Fixed Income,2018-01-01,2023-03-24,Matured
66aa5532-d9a1-40c2-9484-1bdf7bb6842d,25f37d3a-8d37-4f30-b47f-ccb7a9dbac71,Thompson-Davis Dividend Fund,Cash,2018-04-02,2019-10-22,Matured
5681bc2e-2885-48eb-87b8-5c8632e8cfb1,25f37d3a-8d37-4f30-b47f-ccb7a9dbac71,Davidson-Barrett ESG Fund,Equity,2017-04-14,2021-12-09,Matured
f1a92e13-1ac5-4572-b050-b17f1c2224d2,25f37d3a-8d37-4f30-b47f-ccb7a9dbac71,"Woods, Wilson and Moore ESG Fund",Fixed Income,2022-05-31,2026-07-26,Active
c4b6a685-31db-40eb-b52f-d35a3f241f69,25f37d3a-8d37-4f30-b47f-ccb7a9dbac71,"Hart, Mccall and Robinson Horizon Fund",Fixed Income,2019-11-23,2028-05-14,Active
cf9f71f0-ca1a-4153-8c9c-ce9cb34a401a,401a3588-d23b-408f-8e17-ce190b6e0ea2,"Wood, Robinson and Carter Global Fund",Fixed Income,2024-09-19,2026-03-29,Void
108598f8-3d8c-49d6-9931-32ea3d2b253b,6cc176c9-b469-4d3e-807d-b70bdb9fb86c,Ellis-Harris Horizon Fund,Equity,2018-07-17,2028-01-02,Pending
88e84c14-fa76-40f9-bdb6-290e89374bd1,6cc176c9-b469-4d3e-807d-b70bdb9fb86c,Blackwell Group Global Fund,Equity,2022-12-02,2026-12-12,Active
b32b72a6-4b76-4560-ac45-a6f61276f02f,6cc176c9-b469-4d3e-807d-b70bdb9fb86c,"Jones, Garcia and Murphy Alpha Fund",Cash,2023-05-18,2026-11-02,Active
ee6f7399-e390-4e23-bb60-e4c40d61a376,6cc176c9-b469-4d3e-807d-b70bdb9fb86c,"Doyle, Oneal and Wallace Growth Fund",Equity,2018-06-15,2025-03-13,Matured
df5e785d-5e62-4d36-8287-e06534ecd46f,6cc176c9-b469-4d3e-807d-b70bdb9fb86c,Sampson Ltd Balanced Fund,Cash,2017-10-25,2026-08-18,Active
f23ae9b5-5883-4924-af6f-f7c71097d525,22fc43bc-f4a3-4d6b-b1a5-4b56cb2cbd53,"Rogers, Moody and Shaw Balanced Fund",Fixed Income,2017-03-20,2018-07-28,Matured
49bd854c-555e-44c4-9abe-3211ccab7af5,22fc43bc-f4a3-4d6b-b1a5-4b56cb2cbd53,Poole LLC ESG Fund,Cash,2023-06-23,2029-01-02,Active
a0c3591d-4a5c-4b43-98f0-fecfc1186ff5,9f482eb2-30bb-4f6c-9bc1-527547ff2ce1,"Bentley, Gonzales and Rogers Strategic Fund",Cash,2025-06-23,2031-10-05,Settled
8801d85f-b3af-45f1-810b-275c1fe20740,9f482eb2-30bb-4f6c-9bc1-527547ff2ce1,"Stewart, Stewart and Gould Pioneer Fund",Equity,2024-10-25,2027-05-08,Active
08f467f4-ef15-4533-b14a-a1c9074f7079,9f482eb2-30bb-4f6c-9bc1-527547ff2ce1,Riley-Morgan Horizon Fund,Equity,2026-02-28,2032-12-04,Active
04941823-31ca-427e-b9cf-29b6f80d00d2,361e5649-3cfb-4781-8ab7-0916c16905b1,Baldwin Ltd Dividend Fund,Cash,2025-09-22,2033-09-15,Active
b1c7917b-d2a7-4394-9809-0268f642073f,361e5649-3cfb-4781-8ab7-0916c16905b1,Jones and Sons Dividend Fund,Equity,2023-02-03,2031-04-15,Active
3de95b44-6395-48cd-ab02-6928885b4bb4,361e5649-3cfb-4781-8ab7-0916c16905b1,Smith-Baxter ESG Fund,Cash,2020-08-09,2021-10-12,Matured
a159efe2-46ad-4888-9765-39464a6014ba,38342a43-0352-4836-9596-dd6bde6dac23,Ward-Lester ESG Fund,Fixed Income,2019-12-24,2025-12-11,Matured
f0f79f4b-8fae-45fd-a4cf-4bb2f25d0134,38342a43-0352-4836-9596-dd6bde6dac23,Santos-Bryant Growth Fund,Equity,2024-08-27,2031-02-01,Active
dbf2a5f4-15c8-4276-9dc0-804b9aded356,38342a43-0352-4836-9596-dd6bde6dac23,Underwood Group Pioneer Fund,Cash,2024-03-01,2032-02-21,Active
