plan_id,client_id,plan_name,asset_class,start_date,end_date,status
f680e2eb-885f-4b1b-81ca-60b1f3e164a6,71b73dc7-d80e-4e90-94c7-6f7e3830304d,Zhang PLC Plus Plan,Life Insurance,2023-02-04,,Active
15651496-746e-4b10-8525-d048ef710ef6,71b73dc7-d80e-4e90-94c7-6f7e3830304d,Harris Ltd Classic Plan,Life Insurance,2020-06-01,,Pending
fbee8def-2334-4145-a383-2cad1236374d,71b73dc7-d80e-4e90-94c7-6f7e3830304d,Reid-Gaines Classic Plan,General Insurance,2020-10-31,,Active
ab8e2293-5a59-46eb-af35-ea1a827fbc61,71b73dc7-d80e-4e90-94c7-6f7e3830304d,Galvan-Kelley Essential Plan,Health Insurance,2025-09-21,,Pending
5e6db9a9-2d80-48ac-8a77-559eee1ae6de,71b73dc7-d80e-4e90-94c7-6f7e3830304d,Williams Group Classic Plan,Health Insurance,2024-07-29,2026-01-31,Matured
6cbbde0e-1b4d-4b18-9811-7fa655e3afdf,71b73dc7-d80e-4e90-94c7-6f7e3830304d,Green LLC Portfolio Fund,Fixed Income,2022-12-21,,Active
6781c817-27ba-4dd2-ab4c-de52a1d57c3a,71b73dc7-d80e-4e90-94c7-6f7e3830304d,"Nelson, Mullins and Martinez Plus Plan",General Insurance,2023-11-28,,Active
023932e9-fd4f-4393-9b00-72272d94bd93,3752f932-6f33-4ff3-9845-c7335d7d9ee7,"Kramer, Cortez and Smith Portfolio Fund",Cash,2020-05-22,,Active
33f7d613-db1f-4730-ae7e-ddd62ba7473a,3752f932-6f33-4ff3-9845-c7335d7d9ee7,Powell-Perez Essential Plan,Health Insurance,2023-12-08,,Active
412327d2-0cdd-43a2-ab46-a212045cf283,3752f932-6f33-4ff3-9845-c7335d7d9ee7,Bailey and Sons Protector Plan,Life Insurance,2025-11-08,,Active
7511eddb-60b5-4aba-ad20-24fb075e2da0,3752f932-6f33-4ff3-9845-c7335d7d9ee7,"Elliott, Hudson and Smith Plus Plan",Life Insurance,2024-05-09,,Active
994a6495-c2e5-4193-b352-d9ab8fc5594f,3752f932-6f33-4ff3-9845-c7335d7d9ee7,Jensen-Kaufman Comprehensive Plan,General Insurance,2022-05-21,,Active
ae95358d-36e7-48ea-855f-eeaa7c86bff7,3752f932-6f33-4ff3-9845-c7335d7d9ee7,"Stevens, Thompson and Ortiz Comprehensive Plan",General Insurance,2022-05-09,2022-12-22,Lapsed
9d2e7a21-bf0c-424b-ab88-6b1571b46e2c,3752f932-6f33-4ff3-9845-c7335d7d9ee7,"Watkins, Thompson and Small Global Fund",Cash,2021-11-14,,Active
d3c7076e-e388-4455-a2e4-f935a7e04dd8,3752f932-6f33-4ff3-9845-c7335d7d9ee7,Hunt-Huang Protector Plan,Health Insurance,2024-04-18,,Active
75f83f37-5344-4b9b-8f0d-fc57cc7560b7,90eb6701-51d5-456e-a4f8-8c8b8dcae6b1,Frazier-King Global Fund,Cash,2020-09-17,,Active
34dfa095-68dd-40ce-9ec3-cefe7de23c90,90eb6701-51d5-456e-a4f8-8c8b8dcae6b1,Miller and Sons Core Fund,Cash,2021-09-08,,Active
601137e0-9b01-46f3-aa5c-eb6ae87ee423,90eb6701-51d5-456e-a4f8-8c8b8dcae6b1,Olson-Douglas Core Fund,Cash,2021-02-10,,Active
46e3d9c2-ada7-4333-bae1-3fc6298c659f,90eb6701-51d5-456e-a4f8-8c8b8dcae6b1,Collier Group Strategic Fund,Equity,2020-03-11,,Active
3c8a0edf-7d3d-45ea-aca6-a17a257478d8,90eb6701-51d5-456e-a4f8-8c8b8dcae6b1,Dodson-Wallace Essential Plan,Life Insurance,2020-07-11,,Active
