valuation_id,policy_id,as_of_date,current_value
4e827bf3-25e2-41e5-8595-781808da46ff,b8cee6b8-5841-4810-9936-44b9840e37f0,2017-03-14,0.0
2c160140-0687-426b-8859-eb2cba223221,b8cee6b8-5841-4810-9936-44b9840e37f0,2017-07-19,17.62
b7542a2e-300d-4ef4-bfb8-37116848e4e7,b8cee6b8-5841-4810-9936-44b9840e37f0,2017-09-17,25.95
81aa95a2-1bd9-461b-886e-d0c605102a92,b8cee6b8-5841-4810-9936-44b9840e37f0,2018-05-09,58.42
559358d0-a03a-4ef1-af8d-4409ef376919,b8cee6b8-5841-4810-9936-44b9840e37f0,2019-04-09,104.91
6ddb28e5-449a-45cc-8674-fe83668e471c,b8cee6b8-5841-4810-9936-44b9840e37f0,2019-10-06,129.89
fd2c595d-7832-4e4c-a8e5-28c19fe50873,b8cee6b8-5841-4810-9936-44b9840e37f0,2020-02-25,149.6
3424f14c-05a0-4927-9896-d252d5cea081,b8cee6b8-5841-4810-9936-44b9840e37f0,2020-06-14,164.87
311d14da-4489-4c1b-a5ab-395843804f0f,b8cee6b8-5841-4810-9936-44b9840e37f0,2020-06-28,166.81
8df5c995-722a-4649-a02a-8633cc00eae9,b8cee6b8-5841-4810-9936-44b9840e37f0,2020-09-04,176.25
e7a0bd36-7e4e-4fa4-ba0a-63bfc355fbd2,e9ca0b12-dc4e-4622-b594-3161536b5dea,2016-09-28,0.0
a0416724-f048-4fed-9630-ba78cb0d6db5,e9ca0b12-dc4e-4622-b594-3161536b5dea,2017-03-02,291.1
d6cc004f-ef02-46d5-8400-206dc26a7cdd,e9ca0b12-dc4e-4622-b594-3161536b5dea,2017-07-01,518.35
80219e54-e0c5-4e36-9ab8-3fd6bd2a2832,e9ca0b12-dc4e-4622-b594-3161536b5dea,2018-01-18,895.84
7a3614cb-399b-4b73-938e-70a1faa8b03c,e9ca0b12-dc4e-4622-b594-3161536b5dea,2018-05-09,1104.31
8c73f100-0d79-4169-861c-814ef9ef1ef0,e9ca0b12-dc4e-4622-b594-3161536b5dea,2018-06-02,1149.38
33456b90-4975-4d41-873b-113b2d16a7a4,e9ca0b12-dc4e-4622-b594-3161536b5dea,2018-10-16,1404.8
1bad34b3-1dd7-42d5-83df-847620474645,e9ca0b12-dc4e-4622-b594-3161536b5dea,2019-04-28,1769.15
8253dda0-d5c1-4396-a73b-af5752802ad7,e9ca0b12-dc4e-4622-b594-3161536b5dea,2019-05-22,1814.22
77e77ad6-66db-44a6-a69f-f7dc47007e03,e9ca0b12-dc4e-4622-b594-3161536b5dea,2019-10-04,2067.76
4935e87a-79e0-4d0a-979d-6c09e69f3dcd,e9ca0b12-dc4e-4622-b594-3161536b5dea,2020-02-15,2319.43
0ca3120c-24da-4e71-8639-4f98bf7b1612,e9ca0b12-dc4e-4622-b594-3161536b5dea,2020-07-25,2621.8
26e339bd-58c5-494c-b526-e3df7eda34d4,e9ca0b12-dc4e-4622-b594-3161536b5dea,2020-11-17,2837.78
6df99069-1fba-401e-8f8d-a3b526e73490,e9ca0b12-dc4e-4622-b594-3161536b5dea,2021-03-26,3080.05
695ef761-202c-472d-ad54-32ffbaec2293,e9ca0b12-dc4e-4622-b594-3161536b5dea,2022-02-16,3694.18
4a5bf5ae-0f59-4da3-a2fa-b8e20576628d,e6daa6e4-98c0-4c83-b735-822c3324c929,2022-02-16,0.0
7d9ae036-f3f0-4d68-a2f2-b9c994ef5112,e9ca0b12-dc4e-4622-b594-3161536b5dea,2022-03-05,3726.11
cf10dff1-7626-4a79-9ab8-b82b6e9f4998,e6daa6e4-98c0-4c83-b735-822c3324c929,2022-03-05,77.36
5891116a-5743-486d-a069-46928a408511,e9ca0b12-dc4e-4622-b594-3161536b5dea,2022-07-19,3981.53
2dd83598-8427-440a-9c2b-be62f3fc41e4,e6daa6e4-98c0-4c83-b735-822c3324c929,2022-07-19,696.28
3c919872-fbed-4894-a41c-b57f142bf709,e9ca0b12-dc4e-4622-b594-3161536b5dea,2023-01-09,4308.31
386373a8-782e-4aa8-8b64-5ed89ec03d68,e6daa6e4-98c0-4c83-b735-822c3324c929,2023-01-09,1488.12
f2e99599-41a5-418e-b03e-ab95f144904a,e9ca0b12-dc4e-4622-b594-3161536b5dea,2023-05-21,4556.22
48295c7a-96fc-45f1-960b-6b9c35742e20,e6daa6e4-98c0-4c83-b735-822c3324c929,2023-05-21,2088.83
6bc195d8-b692-460e-9b86-d9fdf56d4eee,e9ca0b12-dc4e-4622-b594-3161536b5dea,2023-06-06,4586.27
525265f2-6b65-4076-92d1-a0ec5e78ab27,e6daa6e4-98c0-4c83-b735-822c3324c929,2023-06-06,2161.65
c6d632ad-2c9f-4caf-96b2-5492690ff7ee,e9ca0b12-dc4e-4622-b594-3161536b5dea,2023-11-15,4890.52
80d1923d-2269-4f63-997e-e6d272253882,e6daa6e4-98c0-4c83-b735-822c3324c929,2023-11-15,2898.88
21c438e7-b813-4aba-b38f-40dfea6a0456,e9ca0b12-dc4e-4622-b594-3161536b5dea,2023-12-28,4971.27
ffb5842e-e67d-434c-8810-7122d8d15914,e6daa6e4-98c0-4c83-b735-822c3324c929,2023-12-28,3094.57
b032af58-dfad-4ef5-a10c-0c3b746a80d5,e9ca0b12-dc4e-4622-b594-3161536b5dea,2024-05-28,5256.74
e3ff35f7-ab63-4df8-8595-f082df0c477d,e9ca0b12-dc4e-4622-b594-3161536b5dea,2025-01-02,5668.04
